index,authors,title,reference,month,month_num,year,type,research,link1,link1_name,link2,link2_name
0,"Sorour Mohajerani, Parvaneh Saeedi.",Shadow Detection in Single RGB Images Using a Context Preserver Convolutional Neural Network Trained by Multiple Adversarial Examples,"IEEE, Transaction on Image Processing, Submitted",,,2018,j,,,,,
1,"Reza Moradi Rad, Parvaneh Saeedi, Jason Au, and Jon Havelock",Human Blastocyst’s Zona Pellucida Segmentation via Boosting Ensemble of Complementary Learning,"Informatics in Medicine Unlocked, Elsevier, Volume 13, Pages 112-121",Oct,10,2018,j,,https://doi.org/10.1016/j.imu.2018.10.009,DOI,,
2,"Reza Moradi Rad, Parvaneh Saeedi",A Hybrid Approach for Multiple Blastomeres Identification in Early Human Embryo Images,"Elsevier, Computers in Biology and Medicine, Volume 101, Pages 100-111",Oct,10,2018,j,,https://doi.org/10.1016/j.compbiomed.2018.08.001,DOI,,
3,"Parvaneh Saeedi, Dianna Yee, Jason Au, Jon Havelock",Automatic Identification of Human Blastocyst Components via Texture,"IEEE Transactions on Biomedical Engineering, Volume: 64 , Issue: 12",Dec,12,2017,j,,https://doi.org/10.1109/TBME.2017.2759665,DOI,,
4,"Shakiba Kheradmand, Parvaneh Saeedi, Jason Au, Jon Havelock",Automatic Preimplantation Blastomere Detection in HMC Microscopic Images of Early Stage Human Embryos,"IEEE Transactions on Medical Imaging, Submitted",,,2017,j,,,,,
5,"Thomas Krammer, Parvaneh Saeedi",Improving Landsat 8 Cloud Detection Algorithmsvia a new Snow Identification and Separation Algorithm,"IEEE Geo-science & Remote Sensing Letters, Submitted",,,2017,j,,,,,
6,"Amarjot Singh, Jason Au, Parvaneh Saeedi, Jon Havelock.",Automatic Segmentation of Trophectoderm in Microscopic Images of Human Blastocysts,IEEE Transactions on Biomedical Engineering. 62(1): 382-392.,Jan,1,2015,j,,https://doi.org/10.1109/TBME.2014.2356415,DOI,,
7,"Parvaneh Saeedi, Mao Mao",Two-Edge-Corner Image Features for Registration of Geospatial Images with Large View Variations,International Journal of Geosciences. 5: 1324-1344,Oct,10,2014,j,,http://dx.doi.org/10.4236/ijg.2014.511109,DOI,,
8,"Melissa Cote, Parvaneh Saeedi",Hierarchical image segmentation using a combined geometrical and feature based approach,Journal of Data Analysis and Information Processing. 2(4): 117-136,Nov,11,2014,j,,http://dx.doi.org/10.4236/jdaip.2014.24014,DOI,,
9,"Melissa Cote, Parvaneh Saeedi",Automatic Rooftop Extraction in Nadir Aerial Imagery of Suburban Regions using Corners and Variational Level Set Evolution,IEEE Transactions on Geo-science and Remote Sensing. 51(1): 313-328,Jan,1,2013,j,,https://doi.org/10.1109/TGRS.2012.2200689,DOI,,
10,"Mohammad Izadi, Parvaneh Saeedi",Three-Dimensional Polygonal Building Model Estimation From Single Satellite Images,IEEE Transactions on Geo-science and Remote Sensing. 50(6): 2254-2272,Jun,6,2012,j,,https://doi.org/10.1109/TGRS.2011.2172995,DOI,,
11,"Mohammad Izadi, Parvaneh Saeedi",Robust Weighted Graph Transformation Matching for Rigid and Non-rigid Image Registration,IEEE Transactions on Image Processing. 21(10): 4369-4382,Oct,10,2012,j,,https://doi.org/10.1109/TIP.2012.2208980,DOI,,
12,"Reza Moradi Rad, Parvaneh Saeedi, Jason Au and Jon Havelock.",Multi-Resolutional Ensemble of Stacked Dilated U-Net for Inner Cell Mass Segmentation in Human Embryonic Images,"IEEE International Conference on Image Processing, Athens, Greece",Oct,10,2018,c,,,,,
13,"Sorour Mohajerani, Parvaneh Saeedi",CPNet: A Context Preserver Convolutional Neural Network for Detecting Shadows in Single RGB Images,"IEEE 20th International Workshop on Multimedia Signal Processing, Vancouver, Canada",Aug,8,2018,c,,,,,
14,"Fatemeh Mirshahi, Parvaneh Saeedi",A Dual Path Deep Network for Single Image Super-Resolution Reconstruction,"IEEE 20th International Workshop on Multimedia Signal Processing, Vancouver, Canada",Aug,8,2018,c,,,,,
15,"Reza Moradi Rad, Parvaneh Saeedi, Jason Au, Jon Havelock",Blastomere Cell Counting and Centroid Localization in Microscopic Images of Human Embryo,"IEEE 20th International Workshop on Multimedia Signal Processing, Vancouver, Canada",Aug,8,2018,c,,,,,
16,"Sorour Mohajerani, Thomas Karamer, Parvaneh Saeedi.",A Cloud Detection Algorithm for Remote Sensing Images Using Fully Convolutional Neural Networks,"IEEE 20th International Workshop on Multimedia Signal Processing, Vancouver, Canada",Aug,8,2018,c,,,,,
17,Thomas A. Krammer and Parvaneh Saeedi,Improving Landsat 8Cloud Detection Algorithms via a new Snow Identification and Separation Algorithm,"International Congress in Computer Science, Computer Engineering & Applied Computing, Las Vegas, United States",Jul,7,2018,c,,,,,
18,"Reza Moradi Rad, Parvaneh Saeedi, Jason Au, Jon Havelock.",Coarse-to-Fine Texture Analysis for Inner Cell Mass Identification in Human Blastocyst Microscopic Images,"International Conference on Image Processing Theory, Tools and Applications, Montreal, Canada",Nov,11,2017,c,,,,,
19,"S. Kheradmand, A. Singh, P. Saeedi, J. Au, J. Havelock",Inner Cell Mass Segmentation in Human HMC Embryo ImagesUsing Fully Convolutional Network,"IEEE International Conference on Image Processing, China",Sep,9,2017,c,,,,,
20,"Timothy Horita, Parvaneh Saeedi, Bernhard Rabus",Automatic Cloud Detection and Verification in SatelliteImages,"International Conference on Image Processing, Computer Vision, and Pattern Recognition, Las Vegas, United States",Jul,7,2017,c,,,,,
21,"Reza Moradi Rad, Parvaneh Saeedi, Ivan Bajic",Automatic Cleavage Detection in H.264 Sequence of Human Embryo Development,"IEEE Canadian Conference on Electrical and Computer Engineering, Vancouver, Canada",May,5,2016,c,,,,,
22,"Shakiba Kheradmand, Parvaneh Saeedi, Ivan Bajic",Human Blastocyst Segmentation using Neural Network,"IEEE Canadian Conference on Electrical and Computer Engineering, Vancouver, Canada",May,5,2016,c,,,,,
23,"Amarjot Singh, John Buonassisi*, Parvaneh Saeedi, Jon Havelock",Automatic blastomere detection in day 1 to day 2 human embryo images using partitioned graphs and ellipsoids,"IEEE International Conference on Image Processing, Paris, France",Oct,10,2014,c,,,,,
24,"D. Yee, P. Saeedi, J. Havelock",An Automatic Model-Based Approach for Measuring the Zona Pellucida Thickness in Day Five Human Blastocysts,"International Conference on Image Processing, Computer Vision, and Pattern Recognition, Las Vegas, United States",Jul,7,2013,c,,,,,
25,"Parvaneh Saeedi, Mao Mao",Image Registration Under Larger View Variation using 2EC Features,"International Conference on Image Processing, Computer Vision, and Pattern Recognition, Las Vegas, United States",Jul,7,2013,c,,,,,
26,"Z. Blair, P. Saeedi",3D Reconstruction of Pitched Roofs in Monocular Satellite/Aerial Images,"International Conference on Image Processing, Computer Vision, and Pattern Recognition, Las Vegas, United States",Jul,7,2012,c,,,,,
27,"P. Saeedi, M. Cote",A Star-Corner Algorithm for Building Extraction in Satellite/Aerial Images,"International Conference on Image Processing, Computer Vision, and Pattern Recognition, Las Vegas, United States",Jul,7,2012,c,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,,,,,,,,,,,,
31,,,,,,,,,,,,
32,,,,,,,,,,,,
33,,,,,,,,,,,,
34,,,,,,,,,,,,
35,,,,,,,,,,,,
36,,,,,,,,,,,,
37,,,,,,,,,,,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
40,,,,,,,,,,,,
41,,,,,,,,,,,,
42,,,,,,,,,,,,
43,,,,,,,,,,,,
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,,,,,,,,,,,,
50,,,,,,,,,,,,
51,,,,,,,,,,,,
52,,,,,,,,,,,,
53,,,,,,,,,,,,
54,,,,,,,,,,,,
55,,,,,,,,,,,,
56,,,,,,,,,,,,
57,,,,,,,,,,,,
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
